@relation gestures

@attribute wMax numeric
@attribute wMin numeric
@attribute wMean numeric
@attribute wMed numeric
@attribute wVar numeric
@attribute wTVar numeric
@attribute wAUC numeric
@attribute rMax numeric
@attribute rMin numeric
@attribute rMean numeric
@attribute rMed numeric
@attribute rVar numeric
@attribute rTVar numeric
@attribute rAUC numeric
@attribute cMax numeric
@attribute cMin numeric
@attribute cMean numeric
@attribute cMed numeric
@attribute cVar numeric
@attribute cTVar numeric
@attribute cAUC numeric
@attribute label {notouch, constant, rub, pat, scratch, stroke,tickle}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
455,40,141.2407407,98,9966.894773,6583,15254,7.013333333,4.778169014,5.787369014,5.75946326,0.297461274,56.00637617,625.0358535,6.841269841,4.125,5.415066708,5.313933349,0.405187452,77.76397064,584.8272045,pat
395,36,124.7962963,92,6543.546902,5730,13478,7.022222222,4.296875,5.780737833,5.860078278,0.350154245,66.06939749,624.319686,6.839506173,3.4375,5.239226537,5.216703897,0.61738681,105.2056159,565.836466,pat
349,47,113.75,101.5,3186.226636,4253,12285,6.989473684,4.759124088,5.920002743,5.981734784,0.265617999,62.4318545,639.3602963,6.84057971,3.734375,5.268528518,5.212467784,0.534600835,96.21394811,569.00108,pat
374,46,153.1203704,114.5,9025.471357,6042,16537,6.909090909,4.422459893,5.788748243,5.842308204,0.276612596,48.5253813,625.1848102,7.342857143,3.839285714,5.292588697,5.239624476,0.45339403,82.77513109,571.5995793,pat
1147,180,499.4907407,461.5,43204.85038,8729,53945,6.195294118,4.299485861,5.127789207,5.152540361,0.182722046,19.14438697,553.8012344,6.485714286,5.36056338,5.80849728,5.792003203,0.042350649,19.45935223,627.3177062,rub
1168,139,489.3148148,429.5,47063.3766,8578,52846,5.859531773,3.737566138,4.862269111,4.881274754,0.215418145,19.43698392,525.125064,6.433862434,5.208333333,5.777538512,5.708668809,0.103470164,19.95886486,623.9741593,rub
888,131,336.5277778,317,18326.08333,6783,36345,5.436532508,4.35371179,4.798937042,4.783711008,0.060052575,17.69914048,518.2852005,6.486338798,5.295081967,5.848029049,5.844149397,0.064102555,25.31942304,631.5871373,rub
820,46,347.5555556,306,33980.5109,6356,37536,5.97826087,3.8996139,4.919578362,4.994375,0.147549587,22.34791257,531.3144631,7.717391304,5.210810811,5.860470094,5.838494033,0.122941168,22.56036882,632.9307702,rub
834,54,231.1388889,197.5,20866.28894,10682,24963,7.045454545,4.563814867,5.654702848,5.607450436,0.21828523,41.14706308,610.7079076,6.566037736,3.87804878,5.598472203,5.649757603,0.257007528,54.14459609,604.6349979,scratch
568,39,190.1388889,171.5,12000.47586,7886,20535,6.794871795,4.42997543,5.692200616,5.650712459,0.22904854,47.98068395,614.7576666,6.716216216,3.779411765,5.477850119,5.592925957,0.434293561,71.66195973,591.6078128,scratch
704,52,230.537037,200,24512.25095,12875,24898,6.823529412,4.47826087,5.722651749,5.755704821,0.238691771,43.78401995,618.0463889,6.575,3.544117647,5.483160754,5.481968811,0.404517745,71.93323452,592.1813614,scratch
771,51,216.3518519,129.5,36362.75355,10488,23366,6.860465116,4.440134907,5.779836474,5.906931112,0.280639063,41.68869405,624.2223392,6.335504886,4.272727273,5.483410339,5.557421971,0.207820544,52.86193759,592.2083167,scratch
308,21,98,69.5,4778.841121,3299,10584,6.965517241,3.84,5.275618884,5.3125,0.369393411,72.50601071,569.7668394,7.261904762,3.357142857,5.909470865,6.042114594,0.552854407,86.21467124,638.2228534,stroke
270,19,103.8796296,92,4465.078834,3102,11219,6.975,3.882352941,5.359475196,5.407986111,0.32493297,70.33311832,578.8233212,7.642857143,3.657142857,5.973529541,6.105870021,0.656050355,90.9894093,645.1411904,stroke
230,16,78.35185185,59,2659.48252,3117,8462,6.589285714,4.035714286,5.404689334,5.41860085,0.258324566,61.37728361,583.7064481,7.785714286,3.542857143,5.910536369,6.102696872,0.875573448,107.48396,638.3379278,stroke
289,15,82.48148148,62.5,2957.915542,2785,8908,6.647058824,3.918918919,5.40157365,5.414236111,0.426613521,77.96163844,583.3699542,7.191304348,3.695652174,5.827873709,6.019736842,0.728090805,105.7594642,629.4103606,stroke
451,16,99.12962963,89.5,4040.749394,4407,10706,6.918367347,3.870967742,5.45241216,5.452034706,0.294638201,64.67365764,588.8605133,7.709677419,4.752212389,6.340192786,6.38002197,0.521894178,79.46122743,684.7408208,tickle
569,13,114.4259259,82.5,9460.564555,6319,12358,7.02,4,5.448644194,5.413509472,0.307084276,63.19291364,588.453573,8,3.868421053,6.420013825,6.450054093,0.646639747,89.89718197,693.3614931,tickle
521,16,121.1666667,87.5,8557.654206,5596,13086,6.787234043,3.529411765,5.262189854,5.202880094,0.253137003,59.69998669,568.3165043,8.133333333,3.534883721,6.555827472,6.566136725,0.672391045,77.02425426,708.029367,tickle
416,16,104.2777778,83.5,6247.716511,5771,11262,7,3.464285714,5.374461752,5.382637841,0.339365435,70.77761577,580.4418692,7.97037037,4.55,6.562266983,6.688578722,0.59528337,96.00879376,708.7248342,tickle
1330,1027,1210.611111,1212,3301.978193,2918,130746,5.057034221,4.868037704,4.96210559,4.964017305,0.001087411,3.396128476,535.9074037,4.323283082,4.058769513,4.198830137,4.200582754,0.00325179,6.575796107,453.4736548,constant
1435,1067,1298.101852,1326,8215.12037,2483,140195,5.103393844,4.871987952,4.988537767,4.989778195,0.003599894,3.535261265,538.7620788,4.511593119,4.184284378,4.333395873,4.328782501,0.002963301,5.924648033,468.0067543,constant
1459,1349,1404.972222,1403.5,650.1767913,2267,151737,5.072164948,4.895190237,4.990758144,4.993995412,0.0010996,3.389078748,539.0018796,4.458128079,4.23795404,4.346845507,4.348945151,0.002617619,6.401668128,469.4593148,constant
1571,1428,1490.398148,1489,652.092333,2353,160963,5.070403281,4.925925926,4.989774556,4.990514866,0.000699315,3.506440717,538.8956521,4.408122503,4.207973422,4.302296765,4.306008116,0.001824893,5.406396254,464.6480506,constant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
328,20,78.50925926,44,5742.850381,3826,8479,7.171428571,3.666666667,5.330681282,5.339184061,0.449938292,78.39137899,575.7135785,7.6,3.625,5.42027852,5.422619048,0.958813162,99.2246974,585.3900802,pat
376,14,69.60185185,45,5421.849342,4144,7517,7.094339623,2.916666667,5.302004431,5.377822717,0.609444762,82.28794114,572.6164785,7.909090909,3.530864198,5.507740661,5.527205882,1.154970354,112.9109353,594.8359914,pat
410,17,67.31481481,41,5118.871928,4041,7270,7.096774194,3.153846154,5.052818208,5.087327954,0.444214801,78.61676956,545.7043665,7.904761905,2.806451613,5.583317685,5.64,1.170559967,117.5655847,602.99831,pat
373,15,71.02777778,40.5,5714.924455,4122,7671,7.157894737,2.408163265,5.352614527,5.418859649,0.609109536,70.76577263,578.0823689,8.444444444,3.5125,5.649411676,5.715263158,1.122209549,109.9897661,610.136461,pat
275,67,170,168.5,1890.71028,3018,18360,6.739583333,4.594059406,5.626507474,5.622888306,0.215554956,31.63917392,607.6628072,5.971830986,3.872611465,5.0477095,5.059598355,0.204023993,35.0356288,545.152626,rub
334,107,183.8888889,177,2008.155763,3718,19860,6.375690608,4.564935065,5.552226675,5.52424569,0.165254093,27.15852707,599.6404809,5.769230769,3.781456954,4.78457145,4.784211296,0.152230791,36.70231868,516.7337166,rub
272,101,174.3148148,166,1473.750433,3674,18826,6.475555556,4.769230769,5.58359903,5.550952539,0.106823018,27.91084274,603.0286952,5.774834437,3.554878049,4.800241789,4.811192931,0.206863919,37.76941736,518.4261132,rub
240,68,155.0555556,156.5,1135.529595,2935,16746,6.856353591,4.992481203,5.910699196,5.881840259,0.150570076,26.99676495,638.3555132,6.098214286,3.740740741,4.746014772,4.737739234,0.225889807,47.62281028,512.5695954,rub
1110,243,521.8703704,508,34822.76809,11761,56362,6.301455301,4.983673469,5.747971923,5.7925,0.044120406,16.85605654,620.7809677,4.770542636,3.597444089,4.270850294,4.231879328,0.066653094,17.10600221,461.2518318,scratch
1002,201,536.0833333,496,34438.26402,11367,57897,6.262472885,5.339285714,5.712289796,5.674125822,0.037155751,16.40219067,616.9272979,5.342175066,4.048672566,4.548515975,4.527601263,0.075275913,16.5326076,491.2397253,scratch
1023,107,449.7962963,426.5,28738.40672,12188,48578,6.607638889,5.171052632,5.775252459,5.746767241,0.088596474,24.38161962,623.7272656,5.494845361,3.934027778,4.560327448,4.504495485,0.08849979,22.24557378,492.5153644,scratch
1454,300,741.8333333,688.5,73226.1028,13429,80118,6.325,5.223333333,5.798675702,5.799553571,0.07424853,18.6182465,626.2569759,5.535714286,3.978411054,4.721440123,4.716753103,0.138584117,19.41314088,509.9155332,scratch
137,9,30.25,24,478.0584112,1515,3267,7.9375,3.266666667,5.302115079,5.410427807,0.840377475,96.1657917,572.6284285,8.434782609,3.260869565,6.273544119,6.381896552,1.384173074,150.2498069,677.5427649,stroke
